Id,SalePrice
1461,121783.48
1462,163124.28
1463,176944.95
1464,189525.44
1465,178838.84
1466,174714.84
1467,166549.7
1468,163500.03
1469,174462.3
1470,126950.01
1471,200150.9
1472,93101.1
1473,87717.71
1474,154487.45
1475,120721.41
1476,408852.12
1477,262613.12
1478,306579.88
1479,251480.16
1480,506456.75
1481,324932.22
1482,208573.42
1483,167418.88
1484,169034.22
1485,175805.83
1486,191001.62
1487,380058.56
1488,228470.36
1489,203375.9
1490,219486.56
1491,189356.6
1492,91853.914
1493,188143.33
1494,288980.3
1495,287116.97
1496,235435.9
1497,178310.56
1498,170467.58
1499,161223.25
1500,152072.4
1501,183094.81
1502,151086.69
1503,312802.12
1504,228021.8
1505,222746.05
1506,194759.23
1507,242091.8
1508,209188.3
1509,168172.6
1510,149189.84
1511,144120.64
1512,175353.78
1513,145581.22
1514,141493.53
1515,203838.61
1516,165168.62
1517,159245.98
1518,131013.84
1519,238146.58
1520,134643.03
1521,135574.33
1522,163676.42
1523,107049.22
1524,125936.984
1525,123534.5
1526,117661.75
1527,104481.516
1528,131790.52
1529,150039.67
1530,167179.36
1531,104561.5
1532,105687.52
1533,148869.23
1534,119915.13
1535,155739.86
1536,105174.13
1537,68280.48
1538,181007.92
1539,195932.53
1540,77908.11
1541,132999.62
1542,131802.75
1543,239361.25
1544,76175.06
1545,106639.72
1546,131214.64
1547,137912.38
1548,146692.11
1549,121413.086
1550,143516.17
1551,117666.3
1552,131944.94
1553,160952.33
1554,108824.08
1555,171170.19
1556,83827.57
1557,100282.016
1558,99393.28
1559,51128.48
1560,143032.25
1561,133276.78
1562,129384.54
1563,119797.1
1564,162875.53
1565,140809.48
1566,228074.67
1567,77043.914
1568,231852.47
1569,145664.98
1570,134315.22
1571,117753.49
1572,150791.83
1573,264446.3
1574,118413.086
1575,224317.4
1576,215278.53
1577,198307.39
1578,147597.55
1579,153913.19
1580,192791.23
1581,156408.42
1582,127146.11
1583,294298.6
1584,230647.86
1585,141457.77
1586,70085.84
1587,97038.48
1588,150625.1
1589,98901.55
1590,134898.69
1591,93528.33
1592,120540.46
1593,132677.55
1594,127774.055
1595,109580.016
1596,236019.98
1597,193339.89
1598,200758.52
1599,184770.73
1600,171791.44
1601,75004.09
1602,103689.195
1603,75287.25
1604,284259.22
1605,243381.89
1606,166140.23
1607,161577.38
1608,214011.75
1609,200245.6
1610,164395.16
1611,145920.38
1612,166151.5
1613,157530.83
1614,123274.6
1615,84676.34
1616,68127.086
1617,89224.06
1618,124220.65
1619,142504.83
1620,169895.53
1621,127065.79
1622,140366.7
1623,282279.03
1624,208080.3
1625,126524.484
1626,158810.67
1627,180006.86
1628,269482.66
1629,179669.08
1630,392393.97
1631,224639.22
1632,232646.64
1633,172884.33
1634,180396.64
1635,181178.58
1636,152880.4
1637,191172.34
1638,205349.33
1639,181375.3
1640,252574.95
1641,180500.1
1642,221965.92
1643,215744.98
1644,219576.55
1645,193942.77
1646,154640.9
1647,162946.2
1648,134723.27
1649,133768.44
1650,115027.734
1651,125326.91
1652,95035.6
1653,96046.58
1654,152854.5
1655,149179.75
1656,146273.89
1657,150967.78
1658,145508.36
1659,129185.06
1660,156893.56
1661,463710.3
1662,444774.72
1663,395834.38
1664,450357.66
1665,324809.8
1666,310892.34
1667,384411.53
1668,335475.62
1669,313074.03
1670,358258.78
1671,253186.36
1672,483115.44
1673,290715.97
1674,240631.1
1675,183434.83
1676,186168.77
1677,210428.31
1678,475563.7
1679,373550.12
1680,348841.0
1681,270606.06
1682,280131.53
1683,174118.34
1684,166278.33
1685,172225.78
1686,170216.5
1687,165192.12
1688,181603.53
1689,185998.78
1690,183132.53
1691,178555.7
1692,277412.47
1693,164331.97
1694,180128.61
1695,165945.39
1696,272741.53
1697,182613.02
1698,392148.2
1699,336836.2
1700,246806.92
1701,256764.62
1702,257877.62
1703,239950.89
1704,289414.9
1705,232909.97
1706,518531.66
1707,212191.38
1708,208310.12
1709,280190.16
1710,221907.95
1711,260107.78
1712,245487.06
1713,267388.75
1714,213580.66
1715,204241.98
1716,203225.83
1717,180985.92
1718,131968.64
1719,196273.23
1720,238987.6
1721,171497.38
1722,126550.99
1723,154604.92
1724,211525.08
1725,237810.77
1726,191828.75
1727,152522.25
1728,180595.66
1729,165941.14
1730,160722.33
1731,119239.516
1732,126759.24
1733,117766.8
1734,124016.83
1735,133265.3
1736,113027.82
1737,359244.3
1738,214461.72
1739,292845.78
1740,210009.25
1741,191293.8
1742,171949.94
1743,174584.3
1744,306990.16
1745,216512.19
1746,203558.22
1747,219321.05
1748,241080.52
1749,152380.02
1750,125042.01
1751,245227.72
1752,122931.16
1753,147985.48
1754,197301.02
1755,161832.67
1756,132806.25
1757,120393.47
1758,145796.3
1759,161436.39
1760,166048.1
1761,136783.31
1762,179406.53
1763,179244.95
